	100UNCULTURED_S7_PE_Abundance	14UNCULTURED_S8_PE_Abundance	18UNCULTURED_S12_PE_Abundance	19UNCULTURED_S14_PE_Abundance	24UNCULTURED_S3_PE_Abundance	26UNCULTURED_S4_PE_Abundance	28UNCULTURED_S6_PE_Abundance	2UNCULTURED_S1_PE_Abundance	300UNCULTURED_S9_PE_Abundance	36UNCULTURED_S10_PE_Abundance	400UNCULTURED_S11_PE_Abundance	40UNCULTURED_S15_PE_Abundance	4UNCULTURED_S2_PE_Abundance	500UNCULTURED_S13_PE_Abundance	8UNCULTURED_S5_PE_Abundance	lucaAR31_S16_PE_Abundance	lucaAR32_S17_PE_Abundance	lucaAR33_S18_PE_Abundance	lucaAR34_S19_PE_Abundance
PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Clostridium.s__Clostridium_asparagiforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.770022324	0	0	12.19380287
PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Clostridium.s__Clostridium_citroniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.819938158	0	0	0
PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Escherichia.s__Escherichia_coli	0	0	47.58602576	0	0	0	12.36684329	0	0	19.25386337	0	0	0	0	4.493870859	0	0	0	0
PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Holdemania.s__Holdemania_filiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.38172321	0	0
PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_2_1_58FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.10286431	0	0	0
PWY0-1297: superpathway of purine deoxyribonucleosides degradation|unclassified	443.4085949	99.89797491	179.5685559	57.26425795	193.287077	116.6147434	70.69946073	41.53995502	58.26847083	136.4762969	466.0200812	61.80232611	38.53581059	204.8693339	57.80581183	32.50219609	165.1270764	70.49806265	77.05830712
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	40.43361075	2.818395013	74.73476935	31.06167026	2.727072974	64.23153234	80.080627	36.09449395	18.05537043	83.63206621	27.35564949	45.34116884	0	51.15959629	69.87322733	124.5306694	469.6392148	141.755798	155.6157064
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	2.437303884	0	0	0	0	0	0	0	0	0	0	0	0	7.838448759	0	0	0
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation|g__Escherichia.s__Escherichia_coli	0	0	31.43142653	0	0	0	7.38981263	0	0	12.26526481	0	0	0	0	2.565986251	0	0	0	0
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.659051734	0	12.98961186
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation|unclassified	22.00541139	0	15.42792516	12.96141368	0	44.53603816	51.83714224	0	16.59484955	61.19902583	19.9207108	0	0	45.33305372	47.95854531	0	60.22446123	57.73952389	10.4282727
PWY0-1319: CDP-diacylglycerol biosynthesis II	937.3658597	356.0590363	2312.504513	1280.621289	1153.424683	1931.814671	2093.682534	1405.780151	1339.846074	1963.271104	1197.373102	1468.476689	851.6081404	2207.013443	1921.813278	8887.738618	12949.41124	5716.794945	10633.50934
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.34859607	0	99.59051573	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Alistipes.s__Alistipes_indistinctus	10.35831428	0	0	0	0	0	0	0	1.92608299	0	14.46860078	0	0	0	0	0	0	28.92851167	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.0716708	15.29501673	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_caccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.4713833	196.3891113	53.65501646	218.4630937
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	0	0	0	0	2.593840312	0	0	0	0	0	0	0	0	1.976420559	0	523.7521676	273.1260795
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	8.166397175	0	0	0	0	0	0	0	2.861115482	97.94727655	0	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_intestinalis	0	0	0	0	0	0	7.776886086	0	0	0	0	0	0	0	24.60670153	0	0	364.2521856	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_nordii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.74880069	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.4929708	87.1793857	94.30870844	977.2692809
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_stercoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2697.693836	3332.369862	0	384.8543674
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.63302317	0	174.2357424	76.18679452
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	0	0	3.310662646	0	0	5.121925684	0	0	0	0	0	0	0	0	0	884.8608731	778.8632816	470.3447391	1173.679568
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	13.87458527	0	0	7.647103899	49.63821561	0	0	0	0	0	0	0	73.73096512	83.65922582	91.83246984	5.19134256	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Barnesiella.s__Barnesiella_intestinihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156.952368	0	23.03198979	345.2335646
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Blautia.s__Ruminococcus_gnavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.57963723	0	0	35.72603046
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Blautia.s__Ruminococcus_obeum	2.01561003	0	4.276112769	0	0	1.585178243	0	3.653054426	9.17052538	2.730943923	0	9.075801007	0	7.964792997	0	0	0	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Blautia.s__Ruminococcus_torques	0	0	3.994761101	3.241091934	0	0	0	0	0	0	0	0	0	0	0	50.30767752	0	0	29.9472289
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Clostridium.s__Clostridium_asparagiforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.308465294
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Clostridium.s__Clostridium_bolteae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.256437226	0	0	10.14760976
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Clostridium.s__Clostridium_citroniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.018418212
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Clostridium.s__Clostridium_clostridioforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.52299535
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Clostridium.s__Clostridium_nexile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.430253197	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Clostridium.s__Clostridium_symbiosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.893659593	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Coprobacter.s__Coprobacter_fastidiosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.399038984	0	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Coprococcus.s__Coprococcus_comes	0	0	9.701665898	0	0	4.327082539	7.989501958	0	0	0	0	0	0	0	12.23096301	0	0	7.026297179	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Coprococcus.s__Coprococcus_eutactus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333.2820574	29.41150019	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Dialister.s__Dialister_invisus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	682.6650037	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Dorea.s__Dorea_formicigenerans	0	0	2.457317965	0	0	0	4.420844691	0	0	0	0	0	0	0	0	0	9.116518497	9.473079333	23.49782495
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Dorea.s__Dorea_longicatena	0	0	22.43220544	0	0	0	8.806088031	0	2.884293948	0	0	0	0	0	6.16903798	0	27.73646233	3.535404183	205.8409771
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Enterococcus.s__Enterococcus_hirae	0	0	0	0	0	0	0	0	0	12.87672646	0	0	0	0	0	0	0	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Escherichia.s__Escherichia_coli	0	0	39.67288165	0	0	0	5.258171306	0	0	30.37695535	0	0	0	0	6.167286969	0	0	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Eubacterium.s__Eubacterium_eligens	4.307107562	0	11.20513218	101.6064175	9.590932311	8.647416106	51.93290111	9.859018201	4.940511661	2.605770973	0	6.24586941	5.174485883	5.646925263	158.2906589	0	34.70863481	25.33649866	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Eubacterium.s__Eubacterium_hallii	0	0	7.237399642	0	0	0	9.783567916	3.887346363	0	2.372175407	0	0	0	0	0	0	5.443989897	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Eubacterium.s__Eubacterium_rectale	0	0	20.77351737	0	0	0	10.31097863	0	2.06578912	0	0	3.5629772	2.173705742	12.02382587	12.91305951	0	1885.252239	502.4832204	1573.96163
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Eubacterium.s__Eubacterium_siraeum	2.801329253	5.46372742	9.522562249	13.20689299	6.39161115	2.258632521	6.823577057	0	0	4.40140674	0	0	0	0	2.240755447	15.25541725	0	40.66490592	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	4.252532077	12.06001443	94.40495392	47.68681083	12.68245096	29.39234847	214.1997417	47.1251148	133.8801197	80.50796456	41.97699037	18.41675738	0	169.1162897	172.4533905	1216.899051	1351.393415	512.770515	877.007366
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Flavonifractor.s__Flavonifractor_plautii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.33510874	4.759819112	0	2.245182217
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Gordonibacter.s__Gordonibacter_pamelaeae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.204009474	0	1.240694789	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.63366291	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_4_56FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.644429939
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_2_1_58FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.48418889	0	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.67773087	0	0	28.7052937
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_57FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.239297824	0	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.80020273	0	43.88355393
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_7_1_58FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.86978641	5.933172123	0	83.09990907
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	2.991313927	0	0	0	0	0	0	0	0	0	7.53099842	0	0	0	0	186.5779123	88.99598243	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Parabacteroides.s__Parabacteroides_merdae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207.0996047	116.6558299	0	527.2290748
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Prevotella.s__Prevotella_stercorea	0	0	2.64210771	2.52633941	3.879533969	55.90396071	0	7.446772578	0	3.985228367	0	2.484553663	0	13.9183976	0	0	0	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Roseburia.s__Roseburia_hominis	0	0	0	5.908078125	0	0	0	0	0	9.049741583	0	0	2.282554251	0	0	0	9.239792009	22.42699669	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Roseburia.s__Roseburia_intestinalis	0	0	0	0	0	0	4.746378822	0	0	0	0	0	0	0	0	43.5693788	291.9655665	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Roseburia.s__Roseburia_inulinivorans	3.213332621	0	0	1.579778831	0	0	4.462949925	0	0	0	0	0	0	8.223846575	3.245595621	18.59997482	12.9819334	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Ruminococcus.s__Ruminococcus_bromii	0	0	0	0	0	4.825514109	0	0	0	2.617889316	0	0	0	0	0	0	270.7189687	52.46353365	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Ruminococcus.s__Ruminococcus_champanellensis	0	0	0	6.568419264	0	13.85577114	0	23.08343147	0	0	0	7.313525728	0	0	0	0	0	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184.2853221	34.24678922	51.16623697	215.1215957
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Subdoligranulum.s__Subdoligranulum_sp_4_3_54A2FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.12156658	0	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II|unclassified	472.51008	132.2490722	1181.273858	798.6241925	472.8040214	784.78978	1148.79929	617.9936799	396.1002873	1310.248001	437.5012732	830.7509273	426.2575381	670.7392492	868.0354157	834.8950955	962.3438842	1536.825454	495.0769082
PWY0-1338: polymyxin resistance	0	0	29.31561787	0	0	0	2.962906445	0	0	13.17037239	0	0	1.490424298	0	1.228652169	0	0	0	0
PWY0-1338: polymyxin resistance|g__Escherichia.s__Escherichia_coli	0	0	29.31561787	0	0	0	2.962906445	0	0	13.17037239	0	0	1.490424298	0	1.228652169	0	0	0	0
PWY0-1415: superpathway of heme biosynthesis from uroporphyrinogen-III	0	0	24.1779509	0	0	0	17.54399861	0	0	0	0	0	0	0	23.42308628	0	0	0	0
PWY0-1479: tRNA processing	492.3058771	35.02768686	187.9046797	0	108.9015808	442.9824651	96.07761211	280.6041982	825.3514599	99.24417134	668.0861728	266.0705679	29.70745806	524.710237	59.69229414	217.6490467	43.70934114	151.1823809	463.530057
PWY0-1479: tRNA processing|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	122.4396422	0	0	0	0	0	0	0	214.2714564	0	191.5299991	0	0	139.8263248	0	0	5.594827653	22.09553645	71.89355283
PWY0-1479: tRNA processing|g__Parasutterella.s__Parasutterella_excrementihominis	147.7968545	0	0	0	0	0	0	0	258.2198358	0	214.7864679	0	0	154.9469243	0	0	0	18.58919676	77.25408158
PWY0-1479: tRNA processing|g__Sutterella.s__Sutterella_wadsworthensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.65828076	0	0	0
PWY0-1479: tRNA processing|unclassified	0	34.86114624	181.2032725	0	75.66209252	421.3218217	91.13578405	265.9428506	0	98.07741521	0	255.0839667	29.56022427	0	58.71160579	0	0	0	0
PWY0-1533: methylphosphonate degradation I	0	0	57.50081869	0	0	0	2.513511304	0	0	38.18496803	0	0	1.863065181	0	9.211431971	0	0	0	0
PWY0-1533: methylphosphonate degradation I|g__Escherichia.s__Escherichia_coli	0	0	57.50081869	0	0	0	2.513511304	0	0	38.18496803	0	0	1.863065181	0	9.211431971	0	0	0	0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	21.25217408	7.513581575	314.2781654	86.12627882	44.87676469	165.6229146	296.4611163	140.9015235	41.32789148	134.0315979	43.81191439	131.0562848	51.54154302	71.04497339	246.4252615	3515.974639	4940.90725	1378.151552	1312.975371
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Akkermansia.s__Akkermansia_muciniphila	3.859554741	0	0	0	0	0	0	0	4.453074735	0	3.56596128	0	0	0	0	125.1864034	0	70.78802112	0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	0	1.946512645	0	0	0	0	0	0	0	2.050369384	29.35373228	174.9441521	0	0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Eggerthella.s__Eggerthella_lenta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.980010884	42.90093057
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Eggerthella.s__Eggerthella_sp_1_3_56FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.66334107
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli	0	0	162.947663	0	0	0	21.26578764	0	0	70.86517965	2.46042558	0	4.448045425	0	18.42108185	0	0	0	0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0	6.078155096	38.88363835	12.5843253	5.412732424	4.626557256	124.7296945	2.334168412	28.22840652	26.76776943	4.706969253	0	1.215946712	45.12843894	83.14299109	498.6985789	627.7452451	334.8493109	0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Odoribacter.s__Odoribacter_splanchnicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126.1665327	65.06972931	59.30637916	42.75861322
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Ruminococcus.s__Ruminococcus_champanellensis	0	0	0	12.14154529	0	25.93055503	0	36.9240786	0	0	0	13.98202843	2.440721435	0	0	0	0	0	0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Treponema.s__Treponema_succinifaciens	0	0	0	13.83300693	4.640497601	20.44769127	0	28.25786862	0	0	0	25.90566881	6.509575497	0	0	0	0	0	0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Veillonella.s__Veillonella_parvula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.381153772	0	0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	0	0	13.09315459	0	10.12795624	51.20020289	55.6037033	19.49619757	0	27.08447084	8.247890072	17.50004283	0	0	36.37782354	128.1378393	277.0567785	158.7788799	355.5760756
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	817.3051273	249.8511117	1056.108423	487.4693693	381.2832239	1278.045788	712.7754508	626.1089577	1287.077261	618.1739611	1227.515093	1243.710704	549.621823	1024.764723	340.6916737	2114.530024	3078.87885	2556.071403	1393.237591
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	40.07804669	0	0	0	0	0	0	14.43083276	0	0	0	0	0	0	0	0	0
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis|unclassified	278.1292249	63.34409621	392.001762	165.3281844	117.6863008	478.868831	193.2087119	372.154035	350.0724335	406.8205012	392.7016806	152.1983397	400.7966017	440.9902617	275.8291767	575.3759933	116.3964876	458.925569	239.0125807
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	918.9196439	236.3097853	1272.957659	376.5273455	407.4385631	774.4755974	910.088644	449.994632	1288.078403	799.6520564	1276.711061	923.1808508	595.5029642	1194.362473	974.5900994	2559.090676	4189.730921	2277.46464	3485.86048
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	59.71755447	0	0	0	0	0	0	0	126.2904747	0	94.11837814	0	0	54.67502698	0	0	8.079854347	19.18023116	107.6001449
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|g__Escherichia.s__Escherichia_coli	0	0	54.24430794	0	0	0	0	0	0	18.54603584	0	0	0	0	0	0	0	0	0
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.66693494	0	0
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|g__Parasutterella.s__Parasutterella_excrementihominis	48.80475634	0	0	0	0	0	0	0	117.9235133	0	94.11193169	0	0	64.86688581	0	0	0	11.58521781	74.21643495
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|g__Sutterella.s__Sutterella_wadsworthensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.86187212	103.9375053	0	0
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|unclassified	326.702832	66.86709679	377.4023545	145.8223869	129.3708086	367.4932016	204.9358025	271.5233163	402.1780295	430.9645251	449.2610823	158.4409366	373.0904359	575.5752763	447.2402088	404.5862686	119.3472217	375.7933792	280.9433018
PWY0-321: phenylacetate degradation I (aerobic)	0	0	40.29393689	0	0	0	0	0	0	14.36698219	0	0	0	0	0	0	0	0	0
PWY0-321: phenylacetate degradation I (aerobic)|g__Escherichia.s__Escherichia_coli	0	0	16.58924544	0	0	0	0	0	0	6.519216739	0	0	0	0	0	0	0	0	0
PWY0-41: allantoin degradation IV (anaerobic)	0	0	25.93957777	0	0	0	6.889792251	0	0	10.64822569	0	0	0	0	6.261257819	0	0	0	0
PWY0-42: 2-methylcitrate cycle I	0	0	64.15187332	0	0	0	7.674907799	0	0	15.75503809	0	0	0	0	7.471221435	0	0	0	0
PWY0-781: aspartate superpathway	0	53.45245615	319.0050593	0	52.99472459	117.4474304	144.7383849	112.3420789	0	157.4537909	29.73664331	167.2777788	58.34557698	51.14345572	105.79696	450.2554194	938.4548049	1017.362768	500.8998841
PWY0-781: aspartate superpathway|unclassified	0	0	9.619701482	0	0	94.1560982	11.43317589	41.3769192	0	50.52416209	0	0	0	19.76561778	53.11374744	48.85634006	0	31.91431076	50.99673489
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	75.63636855	0	155.8166248	0	117.6929075	360.7198691	353.1691637	212.0734992	10.76930409	13.67363624	62.35393959	196.0979059	38.22395673	26.75082601	383.2318715	4276.141509	5628.333946	2945.085543	4651.017506
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage|g__Bacteroides.s__Bacteroides_caccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138.9941684	192.0062671	48.73066004	231.1890541
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage|g__Bacteroides.s__Bacteroides_fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.11463852	27.76287621	126.2185264	38.93463637
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	29.48268581	0	0	0	0	0	0	0	31.81195149	129.9972347	143.2215799	109.4383167	887.9015893
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.50745644	0	206.5533911	94.80345313
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage|g__Bacteroides.s__Bacteroides_uniformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	835.7921321	726.1434151	424.7077276	971.24222
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	6.52755443	0	0	0	74.96362375	0	0	0	0	0	0	0	108.8131058	61.2691071	39.44647022	2.062070457	0
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage|unclassified	0	0	128.7322818	0	112.387524	334.2034444	69.94868496	199.3528165	0	0	0	187.6142687	26.41392206	0	15.93151734	78.75967173	38.45564024	56.47086107	0
PWY0-862: (5Z)-dodec-5-enoate biosynthesis	68.98576618	0	99.90787113	23.18956421	12.54606753	40.71644953	72.74832685	21.6077856	62.93208892	42.50090611	77.66378527	0	30.7655296	141.5607914	16.140769	696.8943511	509.8824053	181.194713	73.76822396
PWY0-862: (5Z)-dodec-5-enoate biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.65037063	130.2737989	0	0
PWY0-862: (5Z)-dodec-5-enoate biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	39.00671363	0	0	0	6.192968434	0	0	17.32520664	0	0	0	0	4.444272511	0	0	0	0
PWY0-862: (5Z)-dodec-5-enoate biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.843052436	0	0
PWY0-862: (5Z)-dodec-5-enoate biosynthesis|unclassified	56.54854267	0	0	22.617408	12.42173165	40.17721606	39.66226539	21.13459609	60.01989223	0	74.11199231	0	7.424202543	128.0073622	0	0	0	0	0
PWY490-3: nitrate reduction VI (assimilatory)	0	0	8.58706159	0	0	12.05631822	5.30768119	0	15.59466802	0	0	0	0	21.56749606	0	0	0	0	0
PWY490-3: nitrate reduction VI (assimilatory)|unclassified	0	0	0	0	0	12.03921725	0	0	15.52232577	0	0	0	0	21.44409291	0	0	0	0	0
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	144.1591757	27.08120449	373.0685257	131.7257864	35.34432192	448.2639266	376.8910663	283.2379389	526.3354331	266.7394261	281.8223042	357.4179804	141.0400953	638.2972908	578.8611108	648.515074	1001.066282	468.0060972	2217.693997
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)|g__Escherichia.s__Escherichia_coli	0	0	45.15838358	0	0	0	6.03206239	0	0	30.26934272	0	0	0	0	4.517054857	0	0	0	0
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)|unclassified	30.96568213	0	74.63639259	0	0	155.3301247	33.6292108	114.2849882	181.9442475	101.2294611	30.946579	151.1815987	21.79627822	168.4779952	49.19074995	0	0	0	13.38633135
